aID_STAO,elevation,HS,land_use,N_surveys,SR_pl_mean,SR_pl_sh_mean,SR_pl_lo_mean,SR_pl_trend,T_pl_mean,T_pl_sh_mean,T_pl_lo_mean,T_pl_trend,T_pl_sh_trend,T_pl_lo_trend,SR_mo_mean,SR_mo_sh_mean,SR_mo_lo_mean,SR_mo_trend,T_mo_mean,T_mo_sh_mean,T_mo_lo_mean,T_mo_trend,T_mo_sh_trend,T_mo_lo_trend
11,1101.9000244140625,montane,grassland,4,50.75,16.75,31.25,-3.3999999999999972,3.23,3.349702380952381,3.2054924242424243,0.027999999999999938,-0.020238095238094896,0.10681818181818219,7,2.75,12.75,-0,3.2199999999999998,3.6666666666666665,3.175,-0.23999999999999966,NA,-0.20666666666666683
12,1114.800048828125,montane,grassland,4,36.25,7.125,9.75,-0.20000000000000273,3.12,3.4583333333333335,2.8125,0.023999999999999664,0.40000000000000036,-0.25,5.5,1,9.75,-2.8,3.05,4,3,-0.03999999999999984,NA,0
13,694.0999755859375,montane,grassland,4,36,9.5,18.75,-7.600000000000003,3.5324999999999998,3.8333333333333335,3.5708333333333333,-0.06999999999999956,0.16666666666666696,0.0633333333333331,4,1,3,-2.0000000000000004,3.25,4,3,0.6000000000000002,NA,-8.411848787042894e-16
14,1117.9000244140625,montane,forest,3,15.333333333333334,0,29.166666666666668,-10.000000000000002,3.24,NA,3.382936507936508,0.009999999999998874,NA,0.1369047619047615,14.333333333333334,5.333333333333333,34,-2.000000000000003,3.1,3.166666666666667,3.088888888888889,0.019999999999999307,-0.6666666666666663,0.1
15,1531.300048828125,subalpine,forest,4,44.5,3.625,45.875,-2.0000000000000027,2.6525,2.2083333333333335,2.658292483660131,0.009999999999999785,0.5000000000000001,0.01879084967320281,27.75,6.25,48.5,-3.799999999999998,2.72,2.3958333333333335,2.7378472222222223,0.06800000000000014,-0.14999999999999997,0.0680555555555557
16,1278.199951171875,subalpine,grassland,4,59.75,9.5,23.5,-2.5999999999999996,3.0275,3.4583333333333335,2.688311688311688,-0.005999999999999692,0.03333333333333267,-0.2207792207792206,16.25,5.75,25.75,0.19999999999999857,2.805,2.25,2.9444444444444446,-0.02000000000000064,0.4000000000000002,-0.04444444444444482
17,483.79998779296875,colline,grassland,4,38.5,22.125,33.5,-0.4000000000000027,3.4375,3.53125,3.71875,-0.00600000000000076,0.1049999999999999,-0.07499999999999982,2.5,3,0,-0.8000000000000002,4,4,NA,2.0059467486480348e-15,2.0059467486480348e-15,NA
18,647.4000244140625,montane,forest,4,14.5,1.5,26.875,-1.600000000000001,3.365,3,3.4589285714285714,0.1039999999999999,1.5044600614860266e-15,0.08142857142857113,11,5.75,20.75,2,3.1125,3.2083333333333335,3.0625,0.07800000000000046,0.23333333333333284,0.05000000000000015
19,659.4000244140625,montane,forest,4,13.75,0.75,24.625,1.4000000000000008,3.3575,3,3.3950892857142856,0.04599999999999973,NA,0.026785714285714583,13.5,6,22.5,7.999999999999998,3.1875,3.3333333333333335,3.1714285714285713,0.28200000000000003,0.49999999999999867,0.25142857142857117
20,660.0999755859375,montane,grassland,3,35,37.166666666666664,21.166666666666668,2.9999999999999862,3.51,3.7140151515151514,3.763888888888889,0.05999999999999872,-0.0056818181818200746,-0.12500000000000183,4.333333333333333,6.666666666666667,1.3333333333333333,5.999999999999999,4,4,4,2.0059467486480348e-15,2.0059467486480348e-15,NA
21,810.4000244140625,montane,forest,4,38.75,20,67.625,1.4000000000000028,3.6375,3.824404761904762,3.70734649122807,0.01800000000000015,-0.10476190476190474,-0.01710526315789416,7.5,4,12,4,3.625,4,3.5,-0.34,-5.294608918056356e-16,-0.4999999999999998
22,1270.300048828125,subalpine,grassland,4,36.5,2.25,16,-3.5999999999999965,3.1375,3,3.0479166666666666,-0.0779999999999996,1.504460061486026e-15,-0.07833333333333314,3.25,0,2.25,-1.7999999999999998,3,NA,3,-8.411848787042894e-16,NA,-8.411848787042894e-16
23,826.79998779296875,montane,forest,4,9.5,0,24.125,-2.0000000000000004,3.31,NA,3.3273809523809526,-0.023999999999999307,NA,0.02380952380952425,5.75,2.5,10.75,-1,3.085,3.3333333333333335,3.0416666666666665,-0.09200000000000016,-0.7142857142857144,0.03333333333333392
24,1213.5,montane,forest,4,35.25,0,57.375,-8.999999999999996,3.0925,NA,3.0188492063492065,-0.03399999999999981,NA,-0.003968253968254132,21.5,1.5,49.5,2.4,3,3,3,-0,1.504460061486026e-15,-0
25,530,colline,forest,3,12.666666666666666,0,27.333333333333332,-4.746633064897082e-15,3.37,NA,3.4166666666666665,0.059999999999999054,NA,0.12499999999999967,9.666666666666666,3.6666666666666665,24,-1.0000000000000044,3.45,3.75,3.4243386243386245,-0.10000000000000166,-0.9999999999999991,-0.02857142857143
26,604,colline,forest,4,32.25,0,46.875,1.8000000000000014,3.7,NA,3.75,-0.02000000000000028,NA,0,26.25,7,50,-0.6000000000000014,3.11,3.0625,3.11752798285306,0.055999999999999515,0.15000000000000016,0.030673969992855453
27,635.79998779296875,montane,forest,4,12.5,0,26.375,-8.399999999999999,3.26,NA,3.2843073593073595,-0.031999999999999494,NA,-0.08043290043290038,10.25,2.75,20.75,8.999999999999998,3.085,3.6666666666666665,3.05625,0.15199999999999994,NA,0.08499999999999996
28,1200.9000244140625,montane,forest,4,9,0,21.5,-1.2000000000000006,3.2350000000000003,NA,3.3095238095238093,0.012000000000000097,NA,0.019047619047618803,22.25,4.5,48.75,1.3999999999999995,2.9225,3,2.9102415966386554,0.097999999999999865,-0,0.11172268907562993
29,1105,montane,forest,3,38,4.666666666666667,37.833333333333336,-11.000000000000012,3.06,2.75,3.067032967032967,-0.08000000000000092,-0.5000000000000008,0.06538461538461499,24.666666666666668,11.666666666666666,47,0.9999999999999898,2.8966666666666665,2.6444444444444444,2.9473684210526314,-0.05000000000000088,-0.46666666666666795,-6.487113335279131e-16
30,1040.300048828125,montane,forest,4,25.25,0.75,35.75,1,3.0575,3,2.918793706293706,0.04199999999999964,NA,0.04874125874125834,20.5,11.25,34.75,-0.7999999999999998,3.0125,3,3.019230769230769,-0.00999999999999996,0,-0.015384615384615335
31,1190.699951171875,subalpine,grassland,4,27.5,5.25,25.875,-1.5999999999999999,3.3,3.5,3.4526289682539684,0.01599999999999966,-0,0.03432539682539648,3,2,0,3.9720546451956367e-16,4,4,NA,1.0029733743240174e-15,1.0029733743240174e-15,NA
32,1123.9000244140625,subalpine,forest,4,50.75,1.625,55,2.9999999999999996,3.0324999999999998,3.25,2.8227084045340622,-0.05400000000000008,-0.4999999999999992,-0.035493563454090084,16.5,3.75,40.5,5.199999999999999,3,3,3,0,0,0
33,568.5,colline,grassland,4,25.75,28.25,21.25,-5.3999999999999995,3.5025,3.529513888888889,3.6732142857142858,-0.013999999999999702,0.10138888888888839,-0.14428571428571393,0.75,0,0,1,NA,NA,NA,NA,NA,NA
34,462.3999938964844,colline,forest,4,16.25,5.125,23.25,5.3999999999999995,3.4175,3.4583333333333335,3.5384615384615383,0.09800000000000038,-0.09999999999999946,0.09230769230769233,9.25,8.75,8.75,3.3999999999999986,3.4924999999999997,3.933333333333333,3.4166666666666665,0.4100000000000001,0.1999999999999997,0.46666666666666606
35,876,montane,forest,4,9.75,0,25,-0.9999999999999992,3.46,NA,3.450892857142857,0.03199999999999967,NA,0.03928571428571406,16.75,6,27,6.599999999999998,3.07,3.375,3,-0.019999999999999934,0.10000000000000017,-0
36,1414.4000244140625,subalpine,forest,4,57.25,7.25,31.625,7.400000000000002,2.9475000000000002,2.84375,2.6357767232767233,-0.006000000000000046,0.5250000000000001,0.044565434565434714,5.5,1,9.75,-3.9720546451956367e-16,3.05,4,3,0.12000000000000027,NA,-0
37,804.79998779296875,montane,grassland,4,35.5,18.875,10.125,-3.5999999999999996,3.46,3.7714285714285714,3.6875,0.08000000000000006,0.03142857142857132,-0.05000000000000035,6,3,6.25,1.5999999999999999,3.3533333333333335,4,3.0833333333333335,-1.5488522289060248e-15,-5.294608918056356e-16,-5.933291331121352e-16
38,1128.4000244140625,montane,forest,4,31.5,0,48.125,-1.5888218580782547e-15,3.06,NA,2.9604166666666667,0.04399999999999941,NA,0.030833333333333005,18,9,41,-6.800000000000001,2.9875,2.8041666666666667,3.0313725490196077,0.029999999999999888,0.1366666666666674,0.001568627450980563
39,1041.300048828125,subalpine,grassland,4,20.75,3.5,18.5,-2.200000000000002,3.3,3.5,3.3666666666666667,0.039999999999999855,-1.5735013049550882e-15,0.10666666666666665,1.75,0,3,-1.3999999999999997,3,NA,3,-8.411848787042892e-16,NA,-8.411848787042892e-16
40,630.20001220703125,colline,forest,4,4.25,0.75,8.25,0.20000000000000015,3.5925000000000002,3,3.65625,-0.27399999999999997,NA,-0.125,8.25,1,20,1,3.4699999999999998,4,3.455357142857143,0.1480000000000002,NA,0.1357142857142863
41,731.79998779296875,montane,forest,4,38.25,10.25,50.75,6.6,3.3425,3.6625,3.322619047619048,-0.02200000000000006,-0.29,0.014285714285714585,12.5,10.25,13.75,5.999999999999999,3.1575,3.316666666666667,3.0416666666666665,0.033999999999999635,0.1466666666666672,0.03333333333333392
42,1111,montane,forest,4,12,0,24.5,-3.6000000000000005,3.21,NA,3.267857142857143,-0.07999999999999936,NA,5.337448429481637e-16,9.5,5.75,15.25,-1.599999999999999,3.0825,3.2222222222222223,3.0357142857142856,-0.04199999999999999,0.04761904761904698,-0.08571428571428595
43,1152.699951171875,subalpine,grassland,4,34,10.375,13.25,-7.599999999999998,3.1950000000000003,3.1416666666666666,3.125,-0.011999999999999565,-0.20666666666666683,0.19999999999999982,2.5,0,0.75,-0.3999999999999999,3,NA,3,NA,NA,NA
44,1214.9000244140625,subalpine,forest,4,33.25,0.75,53.125,0.20000000000000334,3.0975,3,3.033333333333333,-0.010000000000000318,NA,-0.00666666666666664,16.25,3.75,35,-1.3999999999999995,3.0425,3,3.05,-0.006000000000000233,-8.411848787042895e-16,-1.737773907273091e-16
45,814.79998779296875,montane,grassland,4,34.25,19.375,16.875,-8.599999999999996,3.345,3.326602564102564,3.5729166666666665,-0.020000000000000104,-0.09717948717948664,0.10833333333333321,3.5,5.25,0.75,2.8,3.415,3.5,3,-0.3399999999999993,8.6702498536690505e-16,NA
46,883.20001220703125,montane,forest,4,11.25,0.75,19.625,10.200000000000001,3.0375,3,3.021031746031746,0.05799999999999947,NA,0.0961904761904762,16.75,3,35.75,1.4,2.9825,3,2.980769230769231,0.014000000000000056,-8.411848787042892e-16,0.015384615384615328
47,834.0999755859375,montane,forest,4,15.25,3,19.125,1.0000000000000007,3.035,3,3.0652777777777778,0.019999999999999227,-0,0.032222222222222666,13.5,3.25,21.5,-5.6000000000000005,3.09,3.25,3.0729166666666665,0.08400000000000052,0.6000000000000002,0.02499999999999946
48,497.5,colline,forest,4,6,1.625,11.25,-3.9720546451956367e-16,3.415,3.25,3.46875,-0.019999999999999574,NA,0.07499999999999998,13,3.5,26.75,-2,3.255,3.5,3.234722222222222,-0.024000000000000372,8.670249853669051e-16,-0.023333333333334136
49,927.4000244140625,montane,grassland,4,25.5,23.875,12,-3.5999999999999996,3.285,3.2934027777777777,3.6375,-0.07999999999999989,-0.037500000000000706,-0.2299999999999997,0.5,1,0,-1.1999999999999997,4,4,NA,NA,NA,NA
50,1411,subalpine,forest,4,57.75,4.375,28.75,-0.19999999999999699,2.9675000000000002,3.5833333333333335,2.690340909090909,-0.07800000000000046,0.07142857142857094,-0.09318181818181835,8.25,1,13.75,-1,2.95,4,2.908333333333333,0.027999999999999726,NA,0.05999999999999996
51,1004.7999877929688,montane,grassland,4,31.25,12.375,18.125,-1.400000000000001,3.225,3.2416666666666667,3.282142857142857,-0.016000000000000545,-0.2866666666666665,0.11714285714285762,3.5,1,3,1.5999999999999996,3.125,4,3,0.29999999999999977,NA,0
52,1183.0999755859375,montane,grassland,4,30.5,12.25,18.25,4.799999999999999,3.2,3.21875,3.1604166666666664,0.04000000000000004,-0.10833333333333321,0.08166666666666647,2.75,4,0,1.7999999999999998,4,4,NA,2.005946748648034e-15,2.005946748648034e-15,NA
53,1070.5999755859375,subalpine,forest,4,21.5,2,27.125,-1.6000000000000012,2.875,2,2.9333333333333336,0.016000000000000195,0,0.02666666666666693,29,9.5,60.5,0.4000000000000019,2.95,2.708333333333333,2.99,0.011999999999999211,-0.03333333333333304,0.007999999999999655
54,928,montane,forest,4,28,0,49.625,-2,3.15,NA,3.1967948717948715,-0.02799999999999975,NA,0.012307692307691912,18,4.25,46.75,-4.800000000000001,3.0425,2.888888888888889,3.0678661616161618,-0.029999999999999895,-0.23809523809523828,0.021212121212121102
55,759.5999755859375,montane,grassland,4,37.25,26.125,27.75,-8.999999999999996,3.47,3.581818181818182,3.696428571428571,-0.0360000000000003,-0.07636363636363634,3.5996745222085454e-16,3.75,6,0.75,-0.19999999999999976,3.8333333333333335,4,3,-0.2857142857142865,-3.781863512897396e-16,NA
56,733.9000244140625,montane,grassland,4,45,20.125,28.75,4.400000000000002,3.4225000000000003,3.720833333333333,3.5912698412698414,0.09400000000000013,0.030000000000000093,-3.568642845292955e-16,3,3.75,0,2.3999999999999995,3.75,3.75,NA,0.9999999999999996,0.9999999999999996,NA
57,739.70001220703125,montane,forest,4,17.5,0.75,27.875,-7.599999999999998,3.275,3,3.2672847985347984,-0.16000000000000014,NA,-0.2033882783882779,17.25,11,30.25,3.8000000000000007,3.0875,3.4,3.019230769230769,0.054000000000000076,0.29999999999999827,-0.015384615384615328
58,625.79998779296875,montane,grassland,4,36.75,21.5,25.375,-5.000000000000003,3.3725,3.450892857142857,3.616071428571429,-0.017999999999999797,0.08928571428571369,-0.17857142857142846,5.75,5,3.75,-5,3.355,4,3,-0.5840000000000001,2.0059467486480348e-15,0
59,657.5,montane,forest,4,11,0,20.5,4.4,3.2175000000000002,NA,3.2507440476190474,0.22200000000000006,NA,0.2422619047619047,22.5,8,48.5,3.1999999999999984,3.175,3.5416666666666665,3.1273809523809524,0.04799999999999951,0.033333333333332854,0.04476190476190459
60,746,montane,forest,4,2.75,0,5.25,2.2,3.15,NA,3.5277777777777777,-0.21000000000000077,NA,-0.41666666666666774,8.25,3.75,19.75,1.3999999999999997,3.515,3.6666666666666665,3.4825757575757574,-0.016000000000000205,0.9999999999999999,-0.10727272727272776
61,1305.699951171875,subalpine,grassland,4,57.25,1.5,21.875,-4.199999999999997,3.08,3,2.5746031746031743,-0.031999999999999675,1.504460061486026e-15,-0.07746031746031753,4.5,2,5.25,1.9999999999999996,3.165,4,3,0.2640000000000002,2.005946748648034e-15,0
62,1074.5,montane,grassland,4,57,41.5,36.375,-8.399999999999997,3.325,3.524558080808081,3.398076923076923,0.04799999999999933,0.055606060606060485,-0.05999999999999979,11,1,23.25,-3.1999999999999993,3.02,4,2.9894688644688645,0.1840000000000005,NA,0.1109890109890104
63,1180.699951171875,subalpine,grassland,4,24,24.75,16.75,-1.9999999999999984,3.205,3.407986111111111,3.1875,-0.08799999999999972,-0.12361111111111088,0.050000000000000176,0.5,1,0.75,0.40000000000000013,3.5,4,3,1.0000000000000009,NA,NA
64,1867.0999755859375,subalpine,grassland,4,51,0.625,18.75,-1.2000000000000028,1.9324999999999999,2.5,1.9210227272727272,0.0020000000000000443,NA,0.00318181818181813,25.25,8.5,41,-0.9999999999999984,2.6725,2,2.8710471513780336,-0.14600000000000007,-0.33333333333333337,-0.06435109008638484
65,1036.5,montane,forest,5,25.4,0,37.6,-3.3999999999999995,3.086,NA,3.03616452991453,0.01599999999999967,NA,0.0381944444444446,22.2,8.8,45,0.20000000000000112,2.99,2.7766666666666664,3.0383333333333336,0.08600000000000002,0.10000000000000023,0.0633333333333332
66,1444,subalpine,grassland,4,53.5,3.25,35.625,2.399999999999997,2.895,3.25,2.7875,0.03200000000000039,0.24999999999999914,0.0757142857142858,8,0.75,15,-1.1999999999999993,3,3,3,0,NA,0
67,1601.199951171875,subalpine,grassland,4,68.75,4,44.625,-8.600000000000007,2.9425,4,2.586577119883041,0.002000000000000671,-0,0.012317251461988298,10.5,6,13.75,-3.199999999999999,3.1725,3.4444444444444446,3.0416666666666665,0.2260000000000003,0.16666666666666546,0.03333333333333392
68,1423.300048828125,subalpine,forest,3,39.666666666666664,0,67.5,-8.428571428571434,2.8766666666666665,NA,2.7737520128824475,-0.05857142857142877,NA,-0.014837819185645938,32.333333333333336,9.666666666666666,49.666666666666664,1.5714285714285696,2.83,2.9166666666666665,2.8084795321637426,0.06428571428571378,0.03571428571428557,0.053884711779447966
69,1014.4000244140625,montane,grassland,4,52.75,29.375,39.875,-10.6,3.5975,3.9166666666666665,3.5418123543123543,-0.014000000000000413,0.024999999999999464,-0.03624708624708646,4,3.5,1.75,-0.7999999999999998,3.4175,3.333333333333333,3.5,0.06599999999999945,-0.6666666666666662,1.0000000000000009
70,372.5,colline,grassland,4,25.75,0.875,36.625,-1.7999999999999983,3.42,3.5,3.6598484848484847,0.07599999999999979,NA,0.09696969696969651,7,0,13.5,-1.1999999999999995,3,NA,3,0,NA,0
71,516.20001220703125,colline,grassland,4,51.5,7.625,48.5,3.5999999999999974,3.4375,3.40625,3.5923076923076924,-0.0020000000000006675,0.02499999999999982,-0.003076923076923065,12,2.5,25,2.399999999999999,3.2375,3.25,3.238095238095238,-0.17400000000000002,-0.3333333333333328,-0.14603174603174532
72,729.0999755859375,montane,forest,4,11,0.875,30,2.399999999999999,3.52,3.5,3.5187590187590185,0.06800000000000014,NA,0.07994227994227997,12.25,6.25,23.5,-0.20000000000000015,3.19,3.125,3.216666666666667,-0.05600000000000002,-0.29999999999999993,-0.013333333333332587
73,815.79998779296875,montane,grassland,4,49.5,23.625,26.375,-6.399999999999996,3.415,3.6145833333333335,3.6361607142857144,-0.019999999999999574,-0.1416666666666673,0.023214285714285587,8.25,13.25,6.5,-3.3999999999999986,3.6574999999999998,3.866071428571429,3.2333333333333334,0.15399999999999991,0.2214285714285717,0.19999999999999973
74,759.5,montane,grassland,4,25,7.875,15,-0.3999999999999984,3.3625,3.59375,3.5375,-0.049999999999999815,-0.3249999999999998,-0.20999999999999958,2.25,1.75,0,-1.399999999999999,3.5,3.5,NA,NA,NA,NA
75,870.79998779296875,montane,grassland,4,24,7,23.75,-9.600000000000001,3.375,3.486111111111111,3.53125,-0.020000000000000462,-0.047619047619048276,0.07499999999999982,3,7.75,0,2.4,3.89,3.888888888888889,NA,0.0471428571428568,0.04761904761904675,NA
76,737.70001220703125,montane,grassland,4,20,15.75,11.125,-0.39999999999999836,3.26,3.2476190476190476,3.3270833333333334,0.1200000000000001,0.10095238095238164,0.3683333333333335,1.25,2,1.5,-2.2,3.335,4,3,-1.3399999999999983,NA,1.5044600614860262e-15
77,633.5999755859375,montane,grassland,4,33.5,21.375,11.125,-0,3.34,3.567857142857143,3.379166666666667,0.020000000000000104,0.12857142857142917,-0.1433333333333328,1.75,1,0,-1.3999999999999997,4,4,NA,NA,NA,NA
78,559.4000244140625,colline,forest,4,4,0.75,8.75,0.8,3.4375,3,3.5,0.14999999999999997,NA,0.30000000000000016,9.75,4.25,18,4.6000000000000005,3.1475,3.3333333333333335,3.1125,0.002000000000000119,0.4999999999999986,0.010000000000000321
79,775.9000244140625,montane,forest,4,20.5,0,45.875,-0,3.2874999999999996,NA,3.33489010989011,0.0539999999999999,NA,0.07626373626373652,15.5,8,31,5.999999999999998,2.995,2.9375,3.0208333333333335,0.04399999999999977,0.11666666666666604,0.01666666666666625
80,893.0999755859375,montane,forest,4,38.5,5.375,59.375,-1.5999999999999999,3.1625,2.875,3.1251827485380117,-0.02200000000000095,-0.6250000000000008,0.013011695906432584,9.75,4,15.75,7,3.2325,4,3.14375,0.16200000000000025,-5.294608918056356e-16,0.08500000000000013
81,1322.0999755859375,subalpine,forest,4,43,3.5,39.375,-14.000000000000002,2.98,2.375,2.8848684210526314,0.06000000000000031,0.39999999999999974,0.12543859649122824,23.25,4,49,1.000000000000001,2.8325,2.0625,2.92453022875817,-0.09399999999999994,-0.04999999999999983,0.011683006535947445
82,1064.0999755859375,montane,grassland,4,26.75,11.75,17.375,-3.3999999999999986,3.285,3.2708333333333335,3.5297619047619047,-0.003999999999999028,0.183333333333333,0.13809523809523863,5,3,1.5,-4.3999999999999995,3.665,4,3,1.3400000000000023,2.0059467486480356e-15,NA
83,683.79998779296875,montane,forest,4,17,0.875,31.875,0.3999999999999985,3.19,3.5,3.188510101010101,0.04000000000000021,NA,0.019696969696969543,6.75,0,19,-0.19999999999999957,3.035,NA,3.0357142857142856,0.027999999999999938,NA,0.028571428571428643
84,1286.0999755859375,montane,forest,4,15.75,4.125,10.25,-1.8000000000000007,2.6425,2.75,2.927083333333333,-0.07800000000000008,-1.3632050852790156e-15,-0.2416666666666664,21.75,4.75,33.25,3.799999999999998,2.465,1.5416666666666667,2.641346153846154,0.3040000000000001,0.633333333333333,0.266923076923077
85,2229.199951171875,alpine,unused,4,1.25,0,0,0.5999999999999999,1.0625,NA,NA,0.14999999999999988,NA,NA,10.25,3.75,3,-2.2,1.0325,1.05,1,0.07799999999999985,0.11999999999999983,-0
86,2173.10009765625,alpine,unused,4,2,0,0,1.1999999999999997,2,NA,NA,0,NA,NA,2.5,4.25,0.75,1.5999999999999996,3.3333333333333335,3.3333333333333335,3,0.4999999999999986,0.4999999999999986,NA
87,1659.699951171875,subalpine,forest,5,24.6,1.7,28.9,10.399999999999999,2.668,2.875,2.6373160173160173,0.05599999999999974,0.5000000000000012,-0.048744588744588174,18,10,33.6,6.599999999999996,2.798,2.842857142857143,2.8003030303030303,-0.024000000000000177,-0.21428571428571422,0.016666666666666594
88,390,colline,grassland,4,38.5,8.5,48.625,-0.799999999999997,3.5675,3.611111111111111,3.7401223776223778,-0.026000000000000335,-0.8333333333333347,-0.04244755244755308,7,0,10.25,-1.9999999999999996,3.125,NA,3.125,-0.232,NA,-0.23333333333333303
89,1256.199951171875,montane,forest,4,12.25,0,28,-2.999999999999999,3.0175,NA,3.0263888888888886,-0.07000000000000028,NA,-0.001111111111110931,24.75,4.5,49.75,-3.800000000000002,3.0575,3,3.063744588744589,0.08199999999999967,0,0.08995670995670987
90,1151.4000244140625,montane,forest,4,12.75,0.75,22,6.599999999999999,3.2675,3,3.2700892857142856,-0.04199999999999999,NA,-0.016071428571428466,20,7.5,40.5,2.0000000000000013,3.0425,3,3.053754578754579,0.034000000000000516,0,0.040805860805860655
91,1453.300048828125,subalpine,grassland,4,37.5,0,22.625,0.4000000000000027,2.8175,NA,2.4990079365079367,-0.0019999999999999575,NA,-0.028095238095237805,5.25,2,0.75,-1,3.75,4,3,-0.9999999999999988,2.0059467486480344e-15,NA
92,1193.5,montane,forest,4,32.75,1.5,49,-0.5999999999999999,3.055,3,2.9772727272727275,-0.1000000000000007,5.014866871620087e-16,-0.06787878787878777,13.75,5.25,28.75,7.799999999999999,2.905,2.5833333333333335,2.954044117647059,-0.028000000000000472,-7.226299849062245e-16,0.01323529411764727
93,1193.0999755859375,montane,forest,4,16.75,0,28.375,-2.2000000000000015,3.1275,NA,3.0593434343434343,0.014000000000000056,NA,-0.04747474747474776,18.75,7.25,41.5,-5.399999999999997,2.9125,2.520833333333333,2.9676113360323884,-0.025999999999999798,-0.4166666666666664,-0.014574898785424924
94,839.5,montane,grassland,4,37.25,15.25,30.875,2.599999999999999,3.2575,3.408333333333333,3.335700757575758,-0.006000000000000047,0.05999999999999998,0.006439393939394656,2.25,0,1.5,1.4,3,NA,3,1.504460061486026e-15,NA,1.504460061486026e-15
95,796.5999755859375,montane,grassland,4,21.25,15,14.5,-3.399999999999998,3.27,3.351785714285714,3.408333333333333,-5.337448429481637e-16,-0.0014285714285710701,0.046666666666666856,1.5,1,0,-0.4,4,4,NA,NA,NA,NA
96,695,montane,grassland,4,19.75,15.75,18.875,6.199999999999999,3.3825,3.2430555555555554,3.595833333333333,0.017999999999999978,0.25000000000000033,-0.00999999999999943,2.25,3,0,0.6000000000000002,4,4,NA,-3.0254908103179183e-16,-3.0254908103179183e-16,NA
97,694.5999755859375,montane,grassland,4,26.25,18.625,15.875,3.8,3.375,3.3854166666666665,3.75,-0.016000000000000195,0.024999999999999644,-0.03333333333333268,4,2,3,-2.0000000000000004,3.25,4,3,-0.5999999999999999,NA,-8.411848787042895e-16
